l1x, l1y, l1z, l2x, l2y, l2z, l3x, l3y, l3z, l4x, l4y, l4z, l5x, l5y, l5z, l6x, l6y, l6z 
251.051, 32.8201, -252.98, 148.69, 210.115, -269.999, -153.949, 266.647, -252.979, -256.31, -23.7116, -269.999, -153.949, -201.007, -252.98, 148.69, -257.538, -269.999, 
250.495, 33.7831, -254.347, 149.244, 209.156, -270.001, -154.505, 267.61, -254.347, -255.756, -24.671, -270.001, -154.504, -200.044, -254.347, 149.244, -258.498, -269.999, 
248.567, 37.1235, -259.4, 151.394, 205.432, -270.001, -156.433, 270.95, -259.4, -253.606, -28.3952, -270.001, -156.433, -196.703, -259.4, 151.394, -262.222, -269.999, 
245.889, 41.7618, -267.206, 155.744, 197.898, -270.001, -159.111, 275.588, -267.206, -249.257, -35.9287, -270.001, -159.111, -192.065, -267.206, 155.743, -269.755, -269.999, 
245.005, 43.2921, -269.982, 159.672, 191.094, -270.001, -159.995, 277.119, -269.982, -245.328, -42.7328, -270.001, -159.995, -190.535, -269.982, 159.672, -276.559, -269.999, 
246.567, 40.5865, -269.999, 159.879, 190.735, -269.614, -158.433, 274.414, -270.001, -245.121, -43.0915, -269.614, -158.432, -193.24, -269.999, 159.879, -276.919, -269.614, 
249.439, 35.6129, -269.999, 159.034, 192.199, -266.969, -155.561, 269.44, -270.001, -245.966, -41.6281, -266.969, -155.561, -198.214, -269.999, 159.034, -275.455, -266.969, 
251.334, 32.3298, -269.999, 158.046, 193.91, -263.992, -153.666, 266.157, -270.001, -246.954, -39.9168, -263.992, -153.665, -201.497, -269.999, 158.046, -273.744, -263.992, 
253.145, 29.1934, -269.999, 156.797, 196.074, -260.407, -151.855, 263.021, -270.001, -248.203, -37.7534, -260.407, -151.855, -204.633, -269.999, 156.797, -271.581, -260.407, 
255.115, 25.7821, -269.999, 155.119, 198.98, -255.906, -149.885, 259.609, -270.001, -249.881, -34.8471, -255.906, -149.885, -208.045, -269.999, 155.119, -268.674, -255.906, 
257.123, 22.3033, -269.999, 153.091, 202.492, -250.947, -147.877, 256.13, -270.001, -251.909, -31.3349, -250.947, -147.877, -211.523, -269.999, 153.091, -265.162, -250.947, 
